Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
_0721_,1.1,2.963e-09,0.000e+00,1.633e-08,1.930e-08
_0722_,1.1,5.148e-09,0.000e+00,6.971e-09,1.212e-08
_0723_,1.1,2.960e-09,0.000e+00,1.633e-08,1.929e-08
_0724_,1.1,5.144e-09,0.000e+00,6.972e-09,1.212e-08
_0725_,1.1,2.974e-09,0.000e+00,1.633e-08,1.931e-08
_0726_,1.1,5.157e-09,0.000e+00,6.975e-09,1.213e-08
_0727_,1.1,2.965e-09,0.000e+00,1.634e-08,1.930e-08
_0728_,1.1,2.760e-07,0.000e+00,1.944e-08,2.955e-07
_0729_,1.1,5.768e-09,0.000e+00,2.287e-08,2.863e-08
_0730_,1.1,3.094e-09,0.000e+00,2.413e-08,2.722e-08
_0731_,1.1,4.618e-09,0.000e+00,1.556e-08,2.018e-08
_0732_,1.1,5.793e-07,0.000e+00,4.190e-08,6.213e-07
_0733_,1.1,9.525e-08,0.000e+00,1.435e-08,1.096e-07
_0734_,1.1,2.970e-07,0.000e+00,2.120e-08,3.182e-07
_0735_,1.1,5.009e-07,0.000e+00,2.141e-08,5.223e-07
_0736_,1.1,3.037e-07,0.000e+00,1.748e-08,3.212e-07
_0737_,1.1,5.253e-07,0.000e+00,2.189e-08,5.472e-07
_0738_,1.1,3.193e-07,0.000e+00,1.765e-08,3.369e-07
_0739_,1.1,5.601e-07,0.000e+00,2.286e-08,5.830e-07
_0740_,1.1,3.413e-07,0.000e+00,1.799e-08,3.593e-07
_0741_,1.1,6.014e-07,0.000e+00,2.479e-08,6.262e-07
_0742_,1.1,3.615e-07,0.000e+00,1.862e-08,3.802e-07
_0743_,1.1,2.716e-07,0.000e+00,2.120e-08,2.928e-07
_0744_,1.1,6.817e-07,0.000e+00,2.422e-08,7.060e-07
_0745_,1.1,2.719e-07,0.000e+00,2.120e-08,2.931e-07
_0746_,1.1,5.655e-07,0.000e+00,2.005e-08,5.856e-07
_0747_,1.1,2.808e-07,0.000e+00,2.120e-08,3.020e-07
_0748_,1.1,1.199e-06,0.000e+00,2.824e-08,1.227e-06
_0749_,1.1,3.011e-07,0.000e+00,2.992e-08,3.311e-07
_0750_,1.1,5.248e-09,0.000e+00,6.079e-09,1.133e-08
_0751_,1.1,4.612e-07,0.000e+00,3.147e-08,4.927e-07
_0752_,1.1,1.641e-07,0.000e+00,1.435e-08,1.784e-07
_0753_,1.1,4.839e-07,0.000e+00,4.306e-08,5.269e-07
_0754_,1.1,3.870e-07,0.000e+00,2.292e-08,4.099e-07
_0755_,1.1,3.863e-07,0.000e+00,2.292e-08,4.092e-07
_0756_,1.1,3.879e-07,0.000e+00,2.292e-08,4.108e-07
_0757_,1.1,3.852e-07,0.000e+00,2.292e-08,4.082e-07
_0758_,1.1,4.100e-07,0.000e+00,2.328e-08,4.333e-07
_0759_,1.1,2.787e-07,0.000e+00,2.120e-08,2.999e-07
_0760_,1.1,2.415e-07,0.000e+00,2.289e-08,2.644e-07
_0761_,1.1,4.017e-07,0.000e+00,2.533e-08,4.270e-07
_0762_,1.1,1.656e-07,0.000e+00,2.105e-08,1.867e-07
_0763_,1.1,3.177e-08,0.000e+00,2.068e-08,5.245e-08
